year,genre,parentalAdvisor,duree,themaScore,imdbRating
1997,Thriller,R,105.0,0.2060727179050445,4.3
2003,Romance,Not Rated,83.0,0.3104577660560608,5.5
2010,Comedy,Not Rated,88.0,0.1149995476007461,7.8
2012,Drama,R,102.0,0.144714817404747,5.4
1989,Crime,R,102.0,0.3839654326438904,6.1
1994,Comedy,R,119.0,0.2458440661430359,5.9
1971,Drama,R,108.0,0.273490697145462,4.7
2002,Drama,PG,47.0,0.1482326686382293,6.6
1984,Drama,R,90.0,0.0802221149206161,5.1
1985,Comedy,R,103.0,0.0160379726439714,3.8
1976,Drama,PG,90.0,0.1116880476474762,6.1
2015,Romance,R,80.0,0.1853922605514526,5.1
2011,Romance,PG,101.0,0.3104577660560608,7.2
2008,Drama,PG-13,85.0,0.2208492159843444,3.9
2006,Comedy,Not Rated,109.0,0.1236720010638237,4.9
1986,Crime,R,93.0,0.2596540153026581,5.7
1936,Drama,Approved,70.0,0.1582159548997879,6.0
2016,Horror,R,98.0,0.2166221439838409,6.5
2016,Horror,Not Rated,95.0,0.3540658056735992,4.8
2004,Drama,PG-13,98.0,0.167135864496231,8.0
1975,Comedy,PG,90.0,0.1999848484992981,3.6
2015,Documentary,Not Rated,96.0,0.2226067185401916,5.0
2009,Drama,Not Rated,105.0,0.1586851477622985,7.1
1938,Crime,Approved,83.0,0.2179249376058578,6.7
1974,Horror,R,89.0,0.1833393722772598,5.8
2001,Comedy,R,94.0,0.1569846123456955,4.5
2015,Drama,Not Rated,90.0,0.320613831281662,7.7
2004,Drama,Not Rated,103.0,0.1155284568667411,6.5
1994,Documentary,R,105.0,0.244200050830841,5.9
1971,Drama,R,80.0,0.2906668186187744,4.3
2013,Comedy,R,86.0,0.1328044235706329,5.1
2012,Romance,Not Rated,96.0,0.2283798456192016,4.5
1973,Comedy,R,90.0,0.3507084846496582,5.2
1976,Drama,PG,87.0,0.0856570750474929,3.9
2012,Romance,Not Rated,89.0,0.3579822182655334,8.3
2001,Documentary,Not Rated,93.0,0.382953405380249,6.2
2013,Comedy,Not Rated,95.0,0.1102172285318374,4.1
1995,Horror,R,92.0,0.1562797129154205,4.5
1994,Comedy,R,102.0,0.2550997138023376,5.5
1984,Thriller,PG-13,73.0,0.2825771272182464,4.4
2012,Drama,Not Rated,91.0,0.1686586439609527,7.0
2006,Comedy,PG-13,61.0,0.3039429783821106,7.3
1997,Horror,R,82.0,0.311401903629303,3.8
2007,Comedy,Not Rated,143.0,0.0870772525668144,3.9
1986,Romance,PG-13,108.0,0.1521460264921188,5.5
2002,Drama,R,91.0,0.2417047023773193,6.1
1952,Adventure,Not Rated,79.0,0.2060633897781372,4.5
1997,Drama,R,93.0,0.2636988162994385,4.7
2004,Horror,Not Rated,143.0,0.2443113029003143,7.8
1988,Crime,PG-13,91.0,0.2401624023914337,4.6
1938,Drama,Approved,85.0,0.2573961615562439,6.6
2007,Comedy,R,135.0,0.2429793179035186,5.8
2004,Drama,Not Rated,143.0,0.0846069157123565,7.1
2007,Documentary,R,90.0,0.1619609296321869,5.5
2005,Crime,R,92.0,0.3488149046897888,6.4
2013,Documentary,Not Rated,101.0,0.4271150827407837,4.7
2012,Drama,Not Rated,81.0,0.1372273713350296,4.4
1981,Crime,R,125.0,0.1441593617200851,6.7
1996,Comedy,R,108.0,0.2677405476570129,7.2
1960,Adventure,Approved,82.0,0.2544767260551452,6.4
1962,Comedy,Not Rated,109.0,0.2346899509429931,6.9
1952,Romance,Approved,111.0,0.2040125429630279,6.2
2014,Thriller,Not Rated,100.0,0.128387838602066,8.2
2009,Drama,R,96.0,0.28648242354393,5.3
2010,Romance,Not Rated,97.0,0.2417465448379516,5.6
2001,Comedy,PG-13,117.0,0.3113191127777099,6.9
2012,Comedy,PG-13,82.0,0.2699248194694519,4.1
2009,Comedy,Not Rated,102.0,0.3039429783821106,7.7
1997,Comedy,Not Rated,111.0,0.137728601694107,7.4
1970,Drama,R,105.0,0.2157971858978271,6.1
1964,Drama,Not Rated,90.0,0.1222689151763916,7.2
2014,Thriller,R,83.0,0.385615736246109,5.2
1969,Drama,Not Rated,99.0,0.2110228687524795,6.6
2007,Drama,Not Rated,85.0,0.1970329880714416,1.6
1977,Drama,R,96.0,0.2433419674634933,6.9
1997,Drama,R,89.0,0.1363686323165893,7.1
1988,Drama,R,88.0,0.2827801406383514,4.7
1998,Crime,R,114.0,0.349639356136322,6.1
1992,Documentary,Not Rated,54.0,0.3786880373954773,8.0
2005,Documentary,R,103.0,0.1371595710515976,7.2
1990,Drama,PG-13,101.0,0.0006628092378377,6.4
1995,Crime,R,93.0,0.335171639919281,5.8
2009,Documentary,R,101.0,0.2424900233745575,3.8
1960,Romance,Not Rated,74.0,0.290359616279602,6.5
1998,Comedy,R,93.0,0.218333899974823,5.5
1940,Drama,Approved,71.0,0.1725282669067382,6.2
1990,Documentary,PG-13,101.0,0.2226067185401916,4.8
2015,Thriller,Not Rated,83.0,0.2751288115978241,6.0
1973,Crime,R,81.0,0.1869718730449676,4.8
1973,Drama,Not Rated,55.0,0.2353844940662384,7.5
2016,Drama,Not Rated,100.0,0.1406719982624054,6.0
2000,Drama,PG-13,105.0,0.089765265583992,5.5
2011,Comedy,R,104.0,0.1470491290092468,5.5
1989,Adventure,PG-13,117.0,0.2009051591157913,6.3
1995,Thriller,R,87.0,0.2605233192443847,4.4
2011,Documentary,R,79.0,0.2226067185401916,6.6
1995,Documentary,Not Rated,52.0,0.238001674413681,7.1
2000,Romance,R,121.0,0.0631366893649101,7.0
2003,Documentary,R,99.0,0.2226067185401916,5.3
2007,Horror,Not Rated,130.0,0.2448174357414245,7.3
1999,Crime,R,96.0,0.2904197573661804,4.4
1998,Documentary,R,105.0,0.2766002416610718,6.4
2011,Documentary,PG,90.0,0.2868791222572326,4.6
2000,Horror,R,96.0,0.2386268675327301,5.9
1964,Adventure,Approved,86.0,0.1889130175113678,6.0
1941,Drama,Approved,80.0,0.1272070854902267,6.6
2003,Drama,Not Rated,145.0,0.2712074518203735,6.5
2007,Drama,Not Rated,111.0,0.0877806022763252,7.3
1963,Drama,Not Rated,123.0,0.2509319484233856,7.4
2003,Drama,R,88.0,0.1960801780223846,5.0
2016,Documentary,R,98.0,0.3814408183097839,4.9
2012,Drama,Not Rated,101.0,0.2740604281425476,6.6
1948,Crime,Approved,87.0,0.1411748081445694,6.3
2016,Horror,Not Rated,105.0,0.2448174357414245,7.2
2015,Thriller,PG,118.0,0.3074076175689697,7.1
1988,Drama,PG,119.0,0.0638148486614227,6.7
2016,Drama,PG,103.0,0.0708992779254913,6.2
1981,Romance,Not Rated,67.0,0.3283773362636566,7.5
1966,Adventure,Not Rated,85.0,0.0557869970798492,5.7
2001,Drama,R,88.0,0.1770330369472503,5.4
1999,Romance,R,74.0,0.3166354894638061,3.1
1984,Drama,PG,105.0,0.0839449390769004,6.1
1961,Crime,Approved,91.0,0.2918943762779236,6.1
1968,Drama,Not Rated,100.0,0.1502352952957153,5.4
2002,Comedy,R,101.0,0.1057919636368751,5.6
1997,Drama,R,96.0,0.2463659346103668,4.4
2011,Documentary,PG,89.0,0.2868791222572326,6.1
1998,Drama,R,94.0,0.321453720331192,4.4
2007,Documentary,Not Rated,147.0,0.107842281460762,7.2
1980,Comedy,PG,105.0,0.3145422041416168,5.6
2012,Romance,Not Rated,92.0,0.2834247946739197,6.1
1960,Comedy,Approved,115.0,0.1944580376148224,6.6
1958,Romance,Approved,137.0,0.0099358325824141,7.3
1990,Crime,R,116.0,0.296759694814682,5.3
2010,Drama,Not Rated,100.0,0.2446490228176117,6.5
1982,Comedy,R,91.0,0.1691268384456634,4.9
2001,Thriller,PG-13,119.0,0.343064546585083,6.7
2012,Documentary,Not Rated,106.0,0.5080789923667908,6.3
1971,Drama,R,102.0,0.0800734236836433,7.2
2003,Drama,R,99.0,0.1482326686382293,5.5
2012,Documentary,Not Rated,80.0,0.3974813222885132,3.3
2011,Documentary,R,80.0,0.4981544017791748,3.6
1976,Romance,PG,97.0,0.1555039286613464,5.1
1991,Thriller,R,104.0,0.0835607945919036,5.6
2012,Comedy,Not Rated,140.0,0.1310689449310302,3.8
1992,Documentary,PG-13,126.0,0.2868791222572326,6.4
1989,Drama,PG,135.0,0.290501207113266,7.5
2005,Horror,R,98.0,0.2377198189496994,3.5
2004,Drama,R,93.0,0.3080091476440429,5.9
2016,Drama,Not Rated,142.0,0.238948792219162,6.0
1993,Documentary,R,109.0,0.2868791222572326,5.4
2008,Horror,R,82.0,0.1155239790678024,3.4
2011,Romance,Not Rated,93.0,0.2555195987224579,4.2
1969,Drama,R,90.0,0.2617812156677246,4.2
1991,Romance,PG-13,143.0,0.3116745352745056,6.6
2001,Documentary,R,85.0,0.1965228766202926,4.9
1977,Drama,Not Rated,83.0,0.3080091476440429,3.9
2004,Documentary,PG,95.0,0.4819341003894806,4.3
1983,Drama,Not Rated,90.0,0.1217029094696044,7.5
1987,Comedy,PG,116.0,0.2432227432727813,7.2
2006,Comedy,Not Rated,77.0,0.1193834096193313,2.1
2008,Documentary,Not Rated,60.0,0.2226067185401916,7.6
2003,Documentary,Not Rated,60.0,0.1891557276248932,6.9
2005,Drama,PG-13,105.0,0.1750900745391845,7.7
1973,Crime,R,90.0,0.1952511817216873,6.4
1939,Romance,Approved,83.0,0.2332170903682708,5.9
1971,Drama,R,98.0,0.152383267879486,6.9
1981,Romance,R,107.0,0.2843107879161834,6.4
1984,Adventure,Not Rated,85.0,0.4564372301101684,3.7
1988,Thriller,R,109.0,0.2940831184387207,5.7
2004,Crime,R,95.0,0.2452880442142486,4.6
2011,Thriller,R,88.0,0.2313370257616043,3.2
1963,Adventure,Not Rated,105.0,0.2087456285953521,5.7
1996,Drama,PG-13,110.0,0.3080091476440429,6.3
1992,Romance,R,105.0,0.3298868536949157,6.8
2016,Drama,Not Rated,99.0,0.1222725883126258,4.7
2011,Drama,Not Rated,78.0,0.1417969763278961,4.3
2014,Drama,R,101.0,0.238124668598175,5.1
1982,Comedy,R,94.0,0.199770838022232,4.9
2002,Drama,R,99.0,0.1302463114261627,4.8
1937,Crime,Approved,93.0,0.2800524234771728,7.3
1972,Horror,PG,80.0,0.1917886584997177,3.9
1983,Drama,R,98.0,0.1410136520862579,4.8
2008,Comedy,R,90.0,0.4022912383079529,3.5
1992,Drama,R,90.0,0.2885296046733856,4.5
1988,Romance,PG,97.0,0.2017492204904556,4.8
1967,Thriller,Approved,96.0,0.2957223057746887,5.8
2013,Romance,R,94.0,0.2615084946155548,3.6
1940,Crime,Approved,77.0,0.2190372794866562,6.6
2005,Horror,R,96.0,0.1577212214469909,5.9
2013,Drama,R,114.0,0.1872725635766983,5.3
1997,Drama,PG,98.0,0.1627873629331588,6.2
1953,Romance,Approved,93.0,0.2653197944164276,5.2
1939,Horror,Approved,73.0,0.1232971027493476,5.7
1980,Comedy,R,88.0,0.2212529778480529,3.8
2015,Comedy,Not Rated,75.0,0.2361979037523269,6.2
1975,Comedy,PG,113.0,0.3604763448238373,7.1
2014,Documentary,R,118.0,0.1964010000228881,6.6
1999,Comedy,R,98.0,0.344074934720993,6.1
1991,Documentary,PG,80.0,0.2761057615280151,3.4
2004,Romance,Not Rated,99.0,0.1028205975890159,6.3
1984,Drama,Not Rated,104.0,0.1397265493869781,6.7
1958,Documentary,Approved,142.0,0.2517586350440979,7.5
1992,Crime,PG-13,90.0,0.2089173793792724,5.4
1956,Documentary,Approved,91.0,0.4795348048210144,5.3
1996,Adventure,R,86.0,0.307559072971344,4.8
2012,Drama,PG,82.0,0.135348379611969,2.3
1994,Adventure,R,120.0,0.4493764340877533,5.6
2011,Adventure,R,110.0,0.2457902431488037,5.3
2006,Comedy,Not Rated,94.0,0.2051388621330261,6.7
