imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
"https://www.imdb.com/search/title/?title=L%27EMBARRAS+DU+CHOIX&release_date=2015-01-01,2022-12-31",You Choose!,2017,Not Rated,95.0,"Comedy, Romance            ",5.4,,1065.0,"Juliette's problem is that she is totally incapable of making up her mind about anything. So even at 40, she still asks her father and her two best friends to choose everything for her. ...                "
"https://www.imdb.com/search/title/?title=TELLE+MERE+TELLE+FILLE&release_date=2015-01-01,2022-12-31",Baby Bump(s),2017,TV-PG,94.0,"Comedy, Drama            ",5.1,,1327.0,A mother and daughter with opposing points of view both become pregnant at the same time.
"https://www.imdb.com/search/title/?title=LES+EX&release_date=2015-01-01,2022-12-31",Les ex,2017,Tous publics,84.0,Comedy            ,5.6,,768.0,"Five couples with their love lives reencounter with their previous romantic partners, making them rethink and reflect on their current lives."
"https://www.imdb.com/search/title/?title=CHERCHEZ+LA+FEMME&release_date=2015-01-01,2022-12-31",Some Like It Veiled,2017,Tous publics,88.0,"Comedy, Romance            ",6.1,,913.0,"Armand and Leila are in love. Together they plan to go to New York for an internship. But few days before their departure, Mahmoud, Leila's big brother, comes back from his long-term stay in Yemen, during which he has changed drastically."
"https://www.imdb.com/search/title/?title=Des+vacances+%C3%A0+tout+prix&release_date=2015-01-01,2022-12-31",Des vacances à tout prix,2020,,,Comedy            ,,,,"Wanting to take his family on their first holidays in years, a loving father makes a deal to do a series of odd and curious summer jobs for a free stay at a resort - While the owner will use his absence to do everything to seduce his wife."
"https://www.imdb.com/search/title/?title=IL+A+DEJA+TES+YEUX&release_date=2015-01-01,2022-12-31",He Even Has Your Eyes,2016,Tous publics,95.0,Comedy            ,6.2,,3139.0,"When French-African couple Paul and Sali discover the longed-for baby they are about to adopt is white, family chaos and confrontation ensue."
"https://www.imdb.com/search/title/?title=LE+GRAND+SAUT&release_date=2015-01-01,2022-12-31",Le grand saut,2019,,12.0,"Documentary, Short, Biography            ",6.0,,79.0,"Of all the daredevils who dive from the rocks of Marseille's perilously steep Corniche speedway, 22-year-old Alain Demaria is the only one to jump headfirst to ""break the water."""
"https://www.imdb.com/search/title/?title=ALIBI.COM&release_date=2015-01-01,2022-12-31",Alibi.com,2017,Tous publics,90.0,Comedy            ,6.4,,8379.0,"Greg and his company provide alibis for infidelities, among other sins. He falls in love with Flo, whose dad turns out to be his customer."
"https://www.imdb.com/search/title/?title=C%27EST+TOUT+POUR+MOI&release_date=2015-01-01,2022-12-31",C'est tout pour moi,2017,,99.0,Comedy            ,6.2,,427.0,"Lila had a dream to become a dancer since she's a little. She went to Paris trying to make her dream come true. But soon she found out it's not what she thought, her dream was disillusioned...                "
"https://www.imdb.com/search/title/?title=NOS+ANNEES+FOLLES&release_date=2015-01-01,2022-12-31",Golden Years,2017,Tous publics,103.0,Drama            ,5.7,,367.0,"Based on a true story, a soldier deserts during WWI and dresses as a woman to escape the law. This triggers upheavals in his sexual behaviour and couple."
"https://www.imdb.com/search/title/?title=BURN+OUT&release_date=2015-01-01,2022-12-31",Burn Out,2017,TV-MA,107.0,"Action, Crime, Thriller            ",6.2,,3821.0,"To save his loved ones, Tony must use his motorcycle talents for drug deliveries."
"https://www.imdb.com/search/title/?title=Femme-Enfant&release_date=2015-01-01,2022-12-31",Femme Enfant,2016,,,"Animation, Short            ",,,,The film follows a barren artist who experiences the joys and fears of pregnancy through her surrealistic paintings. It was inspired by the story of Frida Kahlo and the female surrealists of the early 20th Century.
"https://www.imdb.com/search/title/?title=J%27irai+o%C3%B9+tu+iras&release_date=2015-01-01,2022-12-31",J'irai où tu iras,2019,Tous publics,100.0,"Comedy, Drama            ",5.3,,451.0,"Vali and Mina are 2 sisters who oppose everything. One is a singer dreamer and emotional. The other is a therapist, distant and rational. Their father ends up finding the perfect opportunity to bring them together and try to reconcile them"
"https://www.imdb.com/search/title/?title=LA+VIE+DE+CHATEAU&release_date=2015-01-01,2022-12-31",Chateau,2017,Tous publics,81.0,"Comedy, Drama            ",5.9,,86.0,An agile and colorful comedy about the lives of African immigrants in Paris. Charles is the most skilled and elegant among the sellers used by hairdressers in the populated district of ...                
"https://www.imdb.com/search/title/?title=A+NOS+AGES&release_date=2015-01-01,2022-12-31", Nota Bene,2014,,,History            ,,,,        
"https://www.imdb.com/search/title/?title=UNE+SAISON+EN+FRANCE&release_date=2015-01-01,2022-12-31",A Season in France,2017,Tous publics,100.0,Drama            ,6.3,78.0,550.0,"An African high school teacher flees his war-torn country for France, where he falls in love with a Frenchwoman who offers a roof for him and his family."
"https://www.imdb.com/search/title/?title=LEILA&release_date=2015-01-01,2022-12-31",Leila's Brothers,2022,Tous publics,165.0,Drama            ,6.7,87.0,827.0,"At the age of 40, Leila has spent her entire life caring for her parents and four brothers. A family that is constantly arguing and under pressure from various debts in the face of ...                "
"https://www.imdb.com/search/title/?title=LES+TETES+DE+L%27EMPLOI&release_date=2015-01-01,2022-12-31",Les têtes de l'emploi,2016,Tous publics,90.0,Comedy            ,5.1,,551.0,"Stéphane, Cathy and Thierry are the best employees of the Employment Agency of their city. But their results are so good that the agency will have to close because of a lack of unemployed. ...                "
