titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
Au Bord Du Monde,Gaspar Noé,Rectangle Productions,75020,2021-04-05,2021-04-05,48.86418769189826,2.396241309288757,"https://www.imdb.com/search/title/?title=Au+Bord+Du+Monde&release_date=2015-01-01,2022-12-31",Au bord du monde,2020,,,Short            ,,,,        
Au Bord Du Monde,Gaspar Noé,Rectangle Productions,75010,2021-04-06,2021-04-06,48.88342160145726,2.364171024701786,"https://www.imdb.com/search/title/?title=Au+Bord+Du+Monde&release_date=2015-01-01,2022-12-31",Au bord du monde,2020,,,Short            ,,,,        
Au Bord Du Monde,Gaspar Noé,Rectangle Productions,75010,2021-04-06,2021-04-06,48.87118291026665,2.358439217346279,"https://www.imdb.com/search/title/?title=Au+Bord+Du+Monde&release_date=2015-01-01,2022-12-31",Au bord du monde,2020,,,Short            ,,,,        
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75014,2021-04-16,2021-04-16,48.84304944792184,2.324438427496697,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75008,2021-03-10,2021-03-12,48.87987975067508,2.320706918695236,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75013,2021-04-13,2021-04-13,48.83687976976801,2.349106067634941,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75015,2021-03-18,2021-03-18,48.84645821254021,2.306053472688533,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75013,2021-03-22,2021-03-22,48.83099086754212,2.348666622763757,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75008,2021-04-15,2021-04-15,48.86496397571128,2.301046843276443,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75011,2021-03-19,2021-03-20,48.85809611756942,2.385167096864312,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75014,2021-04-13,2021-04-13,48.82633405132909,2.335159942652225,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75013,2021-04-13,2021-04-13,48.83681678117608,2.349653931679786,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75116,2021-04-15,2021-04-15,48.86443502362827,2.300758996752544,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75014,2021-03-09,2021-03-09,48.8193624069125,2.329416251465688,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,92220,2021-04-14,2021-04-14,48.7983226145774,2.309899590490581,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75014,2021-04-13,2021-04-13,48.82418655993919,2.339934469034646,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75014,2021-03-23,2021-03-23,48.84058626168907,2.323281068230329,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75005,2021-03-23,2021-03-24,48.83921349829959,2.349754034292214,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75015,2021-04-14,2021-04-14,48.84360378183956,2.32207144449986,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
Les enfants des autres,Rebecca Zlotowski,Les Films Velvet,75015,2021-03-18,2021-03-19,48.84763481037084,2.304824412603066,"https://www.imdb.com/search/title/?title=Les+enfants+des+autres&release_date=2015-01-01,2022-12-31",Les enfants des autres,2022,,103.0,"Comedy, Drama            ",,,,A childless woman forms a deep bond with her boyfriend's young daughter.
