tconst,year,genre,numVotes,parentalAdvisor,duree,themaScore,imdbRating
tt0211736,1930,Mystery,30,Passed,87.0,0.3833903968334198,4.7
tt0004545,1914,Adventure,42,Passed,50.0,0.2395503222942352,3.3
tt0004635,1914,Action,982,Not Rated,74.0,0.1769141852855682,5.7
tt0005078,1915,Drama,2574,Not Rated,59.0,0.1239860653877258,6.5
tt0008150,1916,Adventure,589,Passed,138.0,0.1991630494594574,6.4
tt0008188,1917,Romance,689,Not Rated,80.0,0.1098166853189468,6.3
tt0008361,1917,Action,24,Passed,50.0,0.2538816928863525,4.6
tt0008519,1917,Adventure,826,Not Rated,70.0,0.168041706085205,6.1
tt0009702,1918,Romance,22,Passed,60.0,0.154844045639038,5.8
tt0010418,1919,Adventure,1867,Not Rated,116.0,0.1366178095340728,7.0
tt0011865,1920,Comedy,1440,Approved,90.0,0.2257371693849563,6.7
tt0011909,1921,Comedy,1303,Unrated,117.0,0.1850570887327194,6.7
tt0014532,1923,Drama,2300,Passed,136.0,0.1303271651268005,6.8
tt0017519,1926,Drama,166,Passed,120.0,0.1117663607001304,6.7
tt0018054,1927,Drama,2154,Not Rated,160.0,0.1195549145340919,7.4
tt0019935,1928,Drama,769,Passed,113.0,0.1169765889644622,7.1
tt0021106,1930,Drama,1060,Passed,116.0,0.1889657229185104,6.4
tt0023470,1932,Drama,2365,Not Rated,125.0,0.1260795891284942,6.8
tt0024656,1933,Crime,209,Passed,86.0,0.3116832077503204,6.4
tt0024991,1934,Drama,3944,Passed,100.0,0.1714610457420349,6.8
tt0025134,1934,Adventure,638,Not Rated,78.0,0.2898294329643249,6.2
tt0026249,1935,Adventure,1143,Passed,125.0,0.1075606122612953,6.5
tt0029950,1938,Biography,704,Approved,126.0,0.3675827980041504,6.6
tt0035244,1942,Adventure,3276,Passed,123.0,0.185998722910881,6.7
tt0037316,1944,Action,999,Passed,140.0,0.1509231179952621,6.7
tt0039931,1947,Adventure,2526,Passed,146.0,0.1916639804840088,6.9
tt0041838,1949,Drama,8028,Approved,134.0,0.181849718093872,6.8
tt0044672,1952,Drama,14611,Passed,152.0,0.2679874300956726,6.6
tt0049833,1956,Drama,70851,G,220.0,0.11037278175354,7.9
tt0004635,1914,Action,982,Not Rated,74.0,0.1769141852855682,5.7
tt0008266,1917,Adventure,23,Not Rated,65.0,0.1668649166822433,5.3
tt0017141,1926,Adventure,21,Passed,48.0,0.2082644701004028,5.3
tt0017259,1926,Adventure,21,Passed,56.0,0.1868302375078201,6.8
tt0003740,1914,Drama,3569,Not Rated,148.0,0.2177004069089889,7.1
tt0011652,1920,Comedy,1592,Not Rated,77.0,0.0832099318504333,6.1
tt0015313,1924,Comedy,39,Passed,64.0,0.169132113456726,6.4
tt0015662,1925,Sport,48,Passed,60.0,0.1667173355817794,6.7
tt0003854,1936,Music,28,Passed,56.0,0.1250902116298675,3.7
tt0025950,1934,Action,25,Passed,59.0,0.1562669575214386,5.6
tt0027879,1936,Action,51,Approved,63.0,0.0933201536536216,6.1
tt0028749,1937,Crime,86,Approved,61.0,0.2503042817115783,6.8
tt0029378,1937,Crime,14,Approved,62.0,0.2821829915046692,5.8
tt0029543,1937,Crime,151,Approved,61.0,0.2916363179683685,6.9
tt0030141,1938,Action,19,Approved,67.0,0.1251377016305923,4.7
tt0030234,1938,Action,24,Approved,56.0,0.1457695513963699,4.2
tt0030967,1938,Crime,13,Approved,60.0,0.1399829685688018,6.0
tt0031438,1939,Crime,213,Approved,58.0,0.361063152551651,5.6
tt0031661,1939,Adventure,23,Approved,59.0,0.2188978195190429,5.9
tt0031699,1939,Crime,15,Approved,60.0,0.1763322055339813,5.5
tt0031770,1939,Music,17,Approved,63.0,0.1858942806720733,6.5
tt0003883,1913,Crime,384,Not Rated,124.0,0.2704166769981384,7.3
tt0138564,1923,Romance,14,Passed,180.0,0.1973108351230621,7.1
tt0319904,1912,Drama,379,Not Rated,45.0,0.2923516035079956,6.6
tt0012298,1921,Adventure,23,Passed,300.0,0.2148254364728927,7.1
tt0016989,1926,Action,45,Passed,70.0,0.0730751082301139,6.3
tt0017246,1926,Adventure,24,Passed,75.0,0.1105159148573875,6.5
tt0018486,1927,Crime,14,Passed,54.0,0.1727489680051803,2.6
tt0018549,1927,Adventure,18,Passed,56.0,0.1204886361956596,6.0
tt0018692,1928,Adventure,19,Passed,59.0,0.2898489236831665,5.2
tt0018797,1928,Action,28,Passed,65.0,0.1127160340547561,6.9
tt0019307,1928,Action,21,Passed,58.0,0.1992861330509185,6.3
tt0020806,1930,Adventure,566,Passed,74.0,0.2085999250411987,6.1
tt0021820,1931,Drama,300,Not Rated,75.0,0.2272218465805053,5.6
tt0022826,1932,Crime,56,Passed,64.0,0.1591382622718811,5.7
tt0024665,1933,Adventure,101,Passed,60.0,0.1603566408157348,6.0
tt0024694,1933,Adventure,40,Passed,63.0,0.1824086010456085,7.0
tt0025375,1934,Adventure,111,Approved,75.0,0.21634142100811,5.3
tt0026006,1933,Crime,202,Passed,75.0,0.3019150793552398,6.4
tt0026166,1935,Comedy,155,Passed,70.0,0.1463384628295898,5.7
tt0026980,1935,Comedy,274,Passed,74.0,0.2056194543838501,6.3
tt0027020,1935,Drama,190,Passed,67.0,0.1808603107929229,5.9
tt0027110,1935,Drama,192,Passed,68.0,0.2280227243900299,5.9
tt0027227,1935,Crime,481,Passed,67.0,0.287211537361145,6.5
tt0027250,1936,Crime,359,Approved,70.0,0.0912962406873703,6.0
tt0027869,1936,Adventure,1444,Passed,91.0,0.1660251915454864,6.7
tt0027923,1936,Mystery,199,Passed,71.0,0.2849955260753631,6.1
tt0028345,1936,Adventure,3370,Passed,89.0,0.3342053592205047,6.5
tt0028623,1937,Drama,215,Passed,88.0,0.1146814972162246,6.2
tt0028850,1937,Drama,703,Passed,69.0,0.2162548750638961,6.7
tt0029196,1937,Comedy,141,Approved,65.0,0.3466768264770508,5.8
tt0029283,1937,Comedy,342,Passed,74.0,0.0512497872114181,6.3
tt0029709,1937,Comedy,170,Passed,71.0,0.2357104271650314,5.8
tt0030295,1938,Comedy,418,Passed,78.0,0.1446301043033599,6.6
tt0030386,1938,Comedy,1887,Passed,91.0,0.1802508533000946,6.7
tt0030535,1938,Comedy,406,Approved,84.0,0.1826112121343612,6.5
tt0030990,1938,History,280,Passed,83.0,0.1689198911190033,6.3
tt0030997,1937,Comedy,481,Passed,78.0,0.156160369515419,6.6
tt0031014,1939,Crime,243,Passed,62.0,0.3221391439437866,6.1
tt0031403,1939,Comedy,400,Passed,81.0,0.1848653703927993,6.6
tt0031517,1939,Comedy,464,Approved,90.0,0.1167137995362281,6.7
tt0032034,1939,Action,227,Passed,95.0,0.1348176598548889,6.3
tt0032206,1940,Comedy,934,Approved,88.0,0.2287843525409698,6.7
tt0032670,1940,Biography,517,Passed,97.0,0.0222610868513584,6.3
tt0033059,1940,Comedy,434,Passed,72.0,0.1766275763511657,6.0
tt0033342,1941,Comedy,550,Passed,101.0,0.134895846247673,6.6
tt0033832,1941,Comedy,901,Passed,101.0,0.1363508701324463,6.7
tt0034458,1942,Family,558,Passed,92.0,0.184204876422882,6.5
tt0034618,1942,Comedy,571,Passed,95.0,0.1381314396858215,6.6
tt0035574,1942,Adventure,183,Passed,67.0,0.2456533163785934,5.5
tt0036602,1944,Family,551,Passed,107.0,0.233891949057579,6.5
