titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive
TELLE MERE TELLE FILLE,NOEMIE SAGLIO,PAN EUROPENNE PRODUCTION,75002,2016-08-04,2016-08-04,48.86605400006591,2.341844999675658,droite
IL A DEJA TES YEUX,LUCIEN JEAN BAPTISTE,NOLITA CINEMA,75016,2016-02-08,2016-02-08,48.87050899989631,2.281698000587841,droite
AMANT DOUBLE,FRANCOIS OZON,MANDARIN FILMS,75008,2016-11-25,2016-11-25,48.876176000318125,2.307901000087476,droite
Le Lycéen,Christophe Honoré,LES FILMS PELLEAS,75019,2021-12-31,2021-12-31,48.87689678825406,2.392307321497058,droite
UNE COMÉDIE ROMANTIQUE,Thibault Segouin,LATIKA,75018,2021-06-15,2021-06-19,48.88790030838042,2.337778723979118,droite
GARDE ALTERNEE,ALEXANDRA LECLERE,PAN EUROPEENNE,75005,2017-05-11,2017-05-12,48.84735725132167,2.343653803050511,gauche
Rue des dames,Hamé et Ekoué,LA RUMEUR FILME,75017,2021-06-23,2021-06-23,48.88502396501393,2.325362862189527,droite
Les Affamés,Léa Frédeval,LES FILMS DU CLAN,75012,2017-06-09,2017-06-09,48.83668011280243,2.403498861422531,droite
Sul più bello,,BEHIND BLUE EYES,75005,2021-06-21,2021-06-21,48.853749618356666,2.344283563914836,gauche
MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,75012,2016-04-22,2016-04-22,48.847125000351525,2.385157000140806,droite
love addict,frank bellocq,My Family,75018,2017-06-20,2017-06-21,48.88847465649629,2.335150025973801,droite
BARBARA,MATHIEU AMALRIC,WAITING FOR CINEMA,75004,2016-11-28,2016-11-28,48.85485200041039,2.345722000642636,droite
GAUGUIN,EDOUARD DELUC,MOVE MOVIE,75002,2016-12-08,2016-12-08,48.86584599974931,2.346520000070053,droite
LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,75003,2016-11-18,2016-11-18,48.86217099972432,2.36066499989214,droite
H4-93,OLIVIER AYACHE VIDAL,L'ATELIER DE PRODUCTION,75005,2016-10-14,2016-10-14,48.84746600036875,2.348593000281935,gauche
On est fait pour s'entendre,Pascal Elbé,JERICO FILMS,75016,2020-02-26,2020-02-26,48.83842686802321,2.256999308892451,droite
DEVLET AILE VE BEN,ÖZGÜR YILDIZ,ACORT,75010,2016-01-18,2016-01-18,48.8759430000883,2.355601999567355,droite
en attendant Bojangles,Régis Roinsard,Curiosa films,75005,2020-03-13,2020-03-13,48.839597619184055,2.358229357396759,gauche
AMANDA,Mikhael Hers,Nord-Ouest films,75011,2017-08-05,2017-08-05,48.86264617649302,2.378583893063028,droite
LOUE MOI,VIRGINE SCSWARTZ,MY FAMILY,75009,2016-11-22,2016-11-22,48.88149399959888,2.335575000601694,droite
On est fait pour s'entendre,Pascal Elbé,JERICO FILMS,75008,2020-03-05,2020-03-06,48.877379592667566,2.309225699361908,droite
Première année,Thomas LILTI,LES FILMS DU PARC PREMIERE ANNEE Additif,75005,2017-05-15,2017-05-15,48.84887405690285,2.357949571272667,gauche
La Goutte d'Or,Clément Cogitore,Kazak Productions,75018,2021-07-02,2021-07-03,48.88509656213535,2.3519495573866243,droite
À jamais fidèle,cheyenne carron,Hesiode Productions,75116,2017-08-11,2017-08-11,48.8663265047554,2.2810432674608823,couronne
JUST DIVORCED,MAXIME GOVARE,LES IMPRODUCTIBLES,75020,2016-10-05,2016-10-05,48.87153499958694,2.391307999494517,droite
La Goutte d'Or,Clément Cogitore,Kazak Productions,75018,2021-07-01,2021-07-02,48.88490001283714,2.352102225512313,droite
LES BEAUX ESPRITS,VIANNEY LEBASQUE,MES PRODUCTIONS,75010,2017-07-24,2017-07-24,48.87602237021289,2.368308855081851,droite
MADAME,AMANDA STHERS,LGM FILMS,75016,2016-07-25,2016-07-25,48.87016000012336,2.27676200020999,droite
